S.N.,jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus,TotalComp
823,Driver,Female,42,1,Masters,Sales,5,120112,5070,125182
824,Sales Associate,Female,61,2,High School,Sales,2,83308,3653,86961
825,Marketing Associate,Female,26,1,High School,Management,1,36585,4373,40958
826,Graphic Designer,Female,59,2,College,Engineering,4,115344,4827,120171
827,Sales Associate,Male,36,2,High School,Management,1,49553,5784,55337
828,IT,Female,54,2,Masters,Administration,3,96982,4750,101732
829,Financial Analyst,Female,24,1,High School,Management,4,80030,5481,85511
830,Driver,Male,58,2,College,Sales,4,110157,4275,114432
831,Financial Analyst,Female,32,1,High School,Administration,4,84047,4683,88730
832,Marketing Associate,Male,47,2,PhD,Sales,3,93054,4243,97297
833,Data Scientist,Female,53,2,Masters,Engineering,2,84764,4409,89173
834,Warehouse Associate,Female,61,1,Masters,Management,3,120277,4617,124894
835,Marketing Associate,Female,56,2,High School,Sales,3,81661,4965,86626
836,Manager,Female,45,1,High School,Engineering,5,149893,5120,155013
837,Software Engineer,Male,45,2,High School,Management,1,81515,5001,86516
838,Driver,Male,55,2,Masters,Operations,3,95898,4309,100207
839,Warehouse Associate,Male,42,2,PhD,Operations,3,90000,4774,94774
840,Manager,Male,60,3,High School,Management,2,111896,5597,117493
841,Driver,Male,53,1,Masters,Engineering,5,130082,4734,134816
842,Sales Associate,Female,60,2,PhD,Engineering,5,130417,4694,135111
843,Marketing Associate,Female,34,1,College,Engineering,2,38855,4503,43358
844,Software Engineer,Male,25,1,High School,Administration,4,81057,5259,86316
845,Data Scientist,Male,41,1,High School,Management,5,117215,4322,121537
846,Graphic Designer,Female,49,1,High School,Administration,4,96232,3697,99929
847,Financial Analyst,Male,64,1,PhD,Operations,5,141186,3415,144601
848,Manager,Male,52,2,High School,Operations,2,114943,3438,118381
849,Data Scientist,Male,43,1,PhD,Administration,4,107640,3896,111536
850,Manager,Male,31,2,College,Operations,1,80259,4791,85050
851,Marketing Associate,Female,48,1,College,Operations,5,86563,4415,90978
852,Data Scientist,Male,20,1,High School,Operations,2,61589,3990,65579
853,Warehouse Associate,Male,35,1,High School,Administration,2,74829,4263,79092
854,Graphic Designer,Female,44,1,Masters,Administration,2,72248,3634,75882
855,Sales Associate,Male,49,2,High School,Operations,3,91342,4516,95858
856,Sales Associate,Male,49,2,Masters,Operations,2,101140,4851,105991
857,Marketing Associate,Male,51,2,PhD,Sales,1,62600,4300,66900
858,Software Engineer,Male,21,1,High School,Engineering,2,65313,4685,69998
859,Manager,Male,41,1,College,Administration,5,123153,4111,127264
860,IT,Male,27,1,High School,Management,3,57500,3665,61165
861,Manager,Male,37,1,PhD,Administration,3,115604,4098,119702
862,Software Engineer,Male,18,1,High School,Sales,1,55555,4390,59945
863,Data Scientist,Male,58,1,PhD,Engineering,5,124166,3875,128041
864,IT,Male,50,2,Masters,Management,3,101050,3879,104929
865,Data Scientist,Female,56,1,College,Engineering,5,125828,3961,129789
866,Graphic Designer,Female,45,1,High School,Management,3,75017,5576,80593
867,Marketing Associate,Female,40,1,Masters,Engineering,4,100415,3871,104286
868,Manager,Female,57,1,Masters,Operations,3,145095,3889,148984
869,Data Scientist,Female,63,2,High School,Administration,5,115641,4339,119980
870,Software Engineer,Male,59,1,College,Sales,5,160460,2930,163390
871,Financial Analyst,Male,45,2,High School,Administration,2,85947,3909,89856
872,Financial Analyst,Female,48,1,College,Engineering,5,119058,4037,123095
873,Warehouse Associate,Female,56,1,College,Administration,4,106722,4044,110766
874,Financial Analyst,Female,41,2,PhD,Operations,3,91129,4825,95954
875,Graphic Designer,Male,59,1,PhD,Sales,4,135512,3955,139467
876,Financial Analyst,Female,49,2,College,Operations,1,92891,3578,96469
877,Financial Analyst,Male,64,3,High School,Administration,3,124151,3392,127543
878,Data Scientist,Female,58,1,High School,Sales,5,141005,3384,144389
879,Manager,Male,36,1,High School,Operations,2,115742,3661,119403
880,IT,Male,31,1,Masters,Sales,2,93358,3223,96581
881,IT,Female,44,1,High School,Sales,5,131411,3084,134495
882,Sales Associate,Female,61,2,College,Sales,1,96900,4157,101057
883,IT,Male,59,3,Masters,Sales,2,98995,4596,103591
884,IT,Male,57,3,High School,Sales,3,109645,5472,115117
885,Financial Analyst,Male,39,2,College,Sales,1,61609,3738,65347
886,Marketing Associate,Female,56,2,High School,Engineering,3,88820,4289,93109
887,Data Scientist,Male,61,1,Masters,Administration,5,122352,3590,125942
888,Marketing Associate,Female,53,1,Masters,Management,4,112489,4237,116726
889,Software Engineer,Male,29,1,High School,Sales,1,86650,3518,90168
890,Data Scientist,Male,62,3,High School,Operations,2,101284,4993,106277
891,Manager,Male,41,1,Masters,Sales,2,119794,3712,123506
892,Graphic Designer,Male,58,2,Masters,Operations,1,96609,3044,99653
893,Marketing Associate,Female,38,1,PhD,Engineering,1,53839,3270,57109
894,Financial Analyst,Male,29,1,Masters,Operations,2,84725,3274,87999
895,IT,Female,57,2,High School,Administration,1,64807,3887,68694
896,IT,Female,28,1,High School,Management,1,41151,4296,45447
897,Financial Analyst,Female,48,1,College,Administration,4,114031,4510,118541
898,Driver,Male,33,1,High School,Management,1,59493,3955,63448
899,Manager,Female,42,1,High School,Management,2,119893,3721,123614
900,Manager,Male,60,2,College,Sales,1,131980,3841,135821
901,Sales Associate,Female,52,1,High School,Sales,3,94154,3964,98118
902,Marketing Associate,Female,60,1,College,Management,4,114906,4766,119672
903,Driver,Female,63,1,Masters,Management,4,115981,2661,118642
904,Data Scientist,Male,37,1,PhD,Administration,2,78836,3588,82424
905,Driver,Male,64,2,Masters,Operations,2,112719,3382,116101
906,Marketing Associate,Female,59,1,Masters,Sales,3,93018,2730,95748
907,Marketing Associate,Female,55,2,College,Sales,2,69928,4811,74739
908,Software Engineer,Female,57,2,High School,Engineering,1,104623,3791,108414
909,Driver,Male,55,2,College,Administration,2,103328,4543,107871
910,Financial Analyst,Male,47,2,High School,Management,1,68643,4674,73317
911,Graphic Designer,Female,33,1,High School,Sales,1,63914,3521,67435
912,Sales Associate,Male,45,2,High School,Engineering,1,67296,4780,72076
913,Graphic Designer,Female,44,1,College,Sales,3,90474,3530,94004
914,Driver,Female,22,1,High School,Administration,1,60026,4605,64631
915,Marketing Associate,Female,41,1,PhD,Management,5,108587,4275,112862
916,Financial Analyst,Female,61,1,Masters,Engineering,4,139042,2982,142024
917,Driver,Male,65,1,High School,Operations,5,116803,3431,120234
918,Sales Associate,Female,57,1,Masters,Operations,3,101423,3641,105064
919,Software Engineer,Male,36,1,Masters,Operations,1,86375,3368,89743
920,IT,Male,31,1,College,Operations,1,49449,4149,53598
921,Marketing Associate,Female,56,2,High School,Sales,3,95995,4045,100040
922,Software Engineer,Male,51,1,College,Management,2,118282,3599,121881
923,IT,Female,47,1,PhD,Operations,3,99472,3943,103415
924,Manager,Female,55,1,High School,Administration,3,135638,2824,138462
925,IT,Male,50,1,College,Operations,3,85648,2728,88376
926,Data Scientist,Female,58,1,PhD,Management,4,121457,4723,126180
927,Data Scientist,Female,57,1,PhD,Operations,2,114141,3746,117887
928,Manager,Male,58,1,PhD,Management,4,179726,4284,184010
929,Marketing Associate,Female,64,1,College,Administration,5,107572,3107,110679
930,Sales Associate,Female,65,2,PhD,Sales,5,142505,4214,146719
931,Financial Analyst,Male,43,1,PhD,Sales,4,108719,4143,112862
932,IT,Male,36,1,High School,Sales,4,109832,3528,113360
933,Software Engineer,Male,60,1,PhD,Administration,4,127250,4263,131513
934,Sales Associate,Female,50,1,Masters,Sales,3,106279,3892,110171
935,Software Engineer,Male,37,1,High School,Sales,1,81547,3510,85057
936,Data Scientist,Male,56,1,Masters,Administration,2,95798,2530,98328
937,Manager,Female,47,1,High School,Management,3,106916,3959,110875
938,Manager,Male,59,2,PhD,Administration,1,124782,4618,129400
939,Warehouse Associate,Male,53,1,College,Operations,4,126256,3463,129719
940,IT,Female,59,1,PhD,Engineering,3,92257,3908,96165
941,Software Engineer,Male,62,1,High School,Sales,3,124660,2200,126860
942,IT,Female,32,2,High School,Engineering,1,59377,5236,64613
943,Marketing Associate,Female,38,1,PhD,Engineering,2,76726,4204,80930
944,IT,Female,54,1,High School,Engineering,5,112502,3988,116490
945,Data Scientist,Male,65,2,Masters,Sales,2,128730,3247,131977
946,Manager,Male,61,2,College,Sales,1,136836,4070,140906
947,IT,Male,51,1,High School,Engineering,3,89272,2600,91872
948,Financial Analyst,Female,62,1,High School,Operations,3,101515,2251,103766
949,Software Engineer,Male,36,1,Masters,Operations,1,93855,4099,97954
950,Graphic Designer,Male,30,1,College,Operations,2,36642,4388,41030
951,Sales Associate,Male,60,1,College,Operations,3,112604,3366,115970
952,Financial Analyst,Female,49,1,PhD,Engineering,1,67089,3078,70167
953,Driver,Female,51,1,PhD,Management,2,97789,3536,101325
954,Data Scientist,Male,62,1,PhD,Administration,3,123333,3353,126686
955,IT,Male,62,1,PhD,Management,2,105771,2978,108749
956,Marketing Associate,Female,46,1,College,Administration,1,54945,2991,57936
957,Data Scientist,Female,65,1,PhD,Operations,2,121239,3078,124317
958,Data Scientist,Female,64,2,High School,Sales,1,87314,3688,91002
959,Driver,Female,65,1,PhD,Operations,3,124530,3647,128177
960,Driver,Female,45,1,College,Sales,2,67150,3255,70405
961,Financial Analyst,Male,39,1,College,Engineering,4,99643,3789,103432
962,Sales Associate,Male,54,1,College,Administration,3,92468,3242,95710
963,Financial Analyst,Female,47,1,College,Operations,2,63300,3655,66955
964,IT,Male,55,2,Masters,Operations,1,91447,3196,94643
965,Marketing Associate,Female,58,2,High School,Operations,1,60271,3927,64198
966,Warehouse Associate,Male,34,1,Masters,Operations,1,45915,4765,50680
967,Marketing Associate,Female,53,1,Masters,Operations,1,66028,3745,69773
968,Sales Associate,Male,57,1,PhD,Administration,5,113031,3409,116440
969,Software Engineer,Male,62,1,High School,Sales,3,132815,3367,136182
970,Manager,Male,52,1,High School,Management,1,110078,1703,111781
971,Data Scientist,Male,57,1,Masters,Sales,3,106918,3180,110098
972,Software Engineer,Male,60,1,High School,Administration,3,106045,3079,109124
973,Warehouse Associate,Male,65,1,High School,Operations,2,107479,2051,109530
974,Software Engineer,Male,64,1,Masters,Sales,1,109606,2193,111799
975,Marketing Associate,Female,44,1,High School,Engineering,3,91300,3680,94980
976,Sales Associate,Male,56,1,High School,Management,1,88195,2375,90570
977,Financial Analyst,Female,54,1,Masters,Operations,2,90999,2963,93962
978,Sales Associate,Female,58,1,College,Operations,3,86795,3453,90248
979,IT,Female,59,1,College,Sales,3,110627,2041,112668
980,Marketing Associate,Female,52,1,PhD,Sales,3,97696,3888,101584
981,IT,Male,64,1,Masters,Sales,1,92950,2125,95075
982,Sales Associate,Male,56,1,High School,Operations,1,82164,2611,84775
983,Software Engineer,Male,62,1,High School,Management,3,119069,2788,121857
984,Marketing Associate,Female,59,1,College,Engineering,1,62738,2656,65394
985,IT,Female,53,1,High School,Administration,2,112169,2763,114932
986,Manager,Male,55,1,High School,Administration,1,120574,2683,123257
987,Data Scientist,Male,54,1,College,Sales,2,97311,3083,100394
988,Marketing Associate,Female,59,1,High School,Operations,3,98796,3042,101838
989,Sales Associate,Male,62,1,Masters,Administration,2,102593,1823,104416
990,Financial Analyst,Female,65,1,High School,Administration,2,96665,2645,99310
991,Graphic Designer,Female,61,1,Masters,Engineering,1,91030,3318,94348
992,IT,Female,65,1,Masters,Administration,1,106945,2041,108986
993,Graphic Designer,Female,63,1,College,Administration,2,81545,3418,84963
994,Marketing Associate,Female,65,1,Masters,Administration,1,80789,1884,82673
995,Marketing Associate,Female,64,1,PhD,Administration,2,85253,2777,88030
996,Marketing Associate,Female,61,1,High School,Administration,1,62644,3270,65914
997,Data Scientist,Male,57,1,Masters,Sales,2,108977,3567,112544
998,Financial Analyst,Male,48,1,High School,Operations,1,92347,2724,95071
999,Financial Analyst,Male,65,2,High School,Administration,1,97376,2225,99601
1000,Financial Analyst,Male,60,1,PhD,Sales,2,123108,2244,125352
